ID_num,dest_ip,source_mac,dest_mac,packet_count,packet_per_sec,byte_count,byte_per_sec,tcp_flags,connection_attempts,unique_ports,protocol,label
46,192.168.92.196,d9:0e:01:68:f1:6e,76:12:fb:d1:67:62,29,13.35,620,1536.79,SYN,0,5,TCP,Normal
47,189.52.230.252,4e:1c:57:67:cc:1a,02:41:fc:ed:90:b0,122,69,12045,4851,ACK,177,3,TCP,Brute Force
48,133.182.133.125,01:c6:21:c2:a7:0b,0d:d0:d5:94:31:1a,381,54,12307,11497,ACK,72,7,TCP,Brute Force
49,234.112.228.32,7e:d0:ea:a8:26:fe,47:ef:1f:26:40:cb,3360,510,176935,91752,SYN,8,5,TCP,DDoS
50,192.168.221.106,04:2f:ba:d7:c5:fc,02:65:f3:c5:bb:a1,16,3.3,165,376.5,,0,0,ARP,Normal
51,76.39.227.56,0f:5f:01:f9:11:e9,7b:a1:bf:2a:36:97,4292,619,192283,122851,ACK,8,2,TCP,DDoS
52,116.224.156.219,cd:7a:5c:32:a0:b3,08:ce:9e:c3:28:e5,200,84,6180,5693,SYN,73,5,TCP,Brute Force
53,59.151.128.188,ae:fa:dc:5e:57:0a,94:7a:f9:51:f0:7e,4175,526,62951,43357,SYN,4,2,TCP,DDoS
54,49.145.129.161,e4:06:b7:81:ed:a6,94:54:45:69:6d:6e,46,12,1799,828,NONE,3,3,ARP,ARP Poisoning
55,117.210.201.24,e9:17:e9:04:f2:6b,0a:cb:87:45:46:b2,185,23,2805,7045,SYN,145,1,TCP,Brute Force
56,215.103.213.233,5d:d3:ed:b5:70:7f,ba:e3:70:51:2d:58,13,10,1502,1330,NONE,4,6,TCP,Normal
57,115.81.182.114,ab:69:43:38:14:79,08:f7:c9:2b:67:9a,3704,314,154128,67558,ACK,6,4,TCP,DDoS
58,18.180.91.73,72:bc:22:18:df:46,3d:09:fa:81:86:d0,67,26,3051,1720,RST,16,17,UDP,Normal
59,224.123.207.12,dc:30:93:6c:5e:6e,dc:7f:74:b2:9f:80,158,27,5862,539,SYN,35,69,UDP,Port Scanning
60,192.168.38.160,4c:08:cd:45:e2:81,fc:cc:77:d3:32:6f,45,11.44,2398,1446.33,,3,3,UDP,Normal
61,113.9.5.39,cf:0c:d3:83:9d:08,81:c6:5f:7a:ec:60,42,6,765,1426,SYN,18,9,UDP,Normal
62,51.129.151.10,1c:08:20:78:e2:0f,f5:2c:c9:78:94:c5,287,34,45448,4769,,30,3,ARP,ARP Poisoning
63,180.107.244.61,3f:43:01:32:a1:e6,1b:dc:78:10:a8:bc,1224,685,87056,65063,SYN,6,2,TCP,DDoS
64,154.101.244.83,2a:ba:5b:56:b3:72,02:e1:a8:11:ab:4d,495,52,10778,13691,SYN,88,1,TCP,Brute Force
65,86.114.228.15,54:6b:25:e1:1b:68,d1:47:02:37:32:f0,330,35,10827,4734,SYN,120,6,TCP,Brute Force
66,207.23.215.232,b6:44:df:75:b8:91,94:72:24:05:be:b1,4018,709,135322,44387,NONE,4,2,TCP,DDoS
67,192.168.239.133,a6:25:5a:65:78:38,5c:f4:6d:c3:5b:9e,15,0.9,881,102.57,,0,0,ARP,Normal
68,225.185.236.33,6f:82:ef:b5:87:46,19:b5:23:20:b8:33,470,30,84914,2352,,52,5,ARP,ARP Poisoning
69,97.161.214.61,3a:47:6a:e0:ef:93,7a:0f:60:8b:90:9a,433,41,11482,4244,SYN,120,6,TCP,Brute Force
70,37.164.57.132,49:ef:b9:56:eb:fb,35:18:be:79:0f:a4,4202,280,179120,69198,ACK,1,7,TCP,DDoS
71,14.19.203.140,11:54:c2:46:35:f1,55:1e:6f:e0:cf:fc,460,27,4313,1347,FIN,152,7,TCP,Brute Force
72,11.124.169.200,6a:b6:61:47:b2:7c,76:fe:f1:10:6b:17,2647,899,192977,36216,SYN,7,9,TCP,DDoS
73,203.202.211.194,bb:03:66:af:9b:5b,95:6d:a6:b7:05:62,303,21,10057,732,SYN,83,6,TCP,Brute Force
74,105.246.79.169,d1:c7:52:6d:e6:c5,12:69:e1:84:d2:dc,126,32,2964,3779,SYN,68,39,UDP,Port Scanning
75,173.211.253.69,00:3a:21:37:5f:dc,2b:45:5a:88:a8:5a,140,40,43043,3747,,78,5,ARP,ARP Poisoning
76,136.215.132.146,6c:29:64:2c:6d:d2,2b:7f:8e:0c:73:92,275,33,9087,3618,SYN,87,23,UDP,Port Scanning
77,95.138.121.128,0c:5e:b3:46:67:b3,04:c1:5c:02:e6:76,46,4,1271,583,NONE,3,4,ARP,ARP Poisoning
78,111.104.50.21,3e:09:64:b3:46:18,e0:9b:1b:fb:65:13,61,17,796,977,NONE,3,3,ARP,ARP Poisoning
79,72.213.213.196,fc:5d:22:bd:9f:28,39:ab:29:4b:35:e3,397,18,43325,4633,,155,2,ARP,ARP Poisoning
80,155.163.36.211,dc:9d:34:96:82:1a,b2:06:0f:6a:ed:a2,1091,964,139804,86228,SYN,1,1,TCP,DDoS
81,192.168.112.104,9a:63:71:a6:9f:45,0e:d9:cb:f1:3b:8c,13,3.04,1038,490.25,,0,0,ARP,Normal
82,138.53.95.35,47:0f:f0:5e:fa:66,ab:6e:b1:dc:2b:59,331,22,14586,14112,ACK,87,1,TCP,Brute Force
83,93.169.148.14,3e:b4:35:e9:9f:eb,00:2f:59:80:5f:79,87,19,1384,364,NONE,3,1,ARP,ARP Poisoning
84,67.3.111.146,e5:28:b0:f4:1f:f8,b0:0c:87:bf:1e:d9,261,58,16909,1370,SYN,149,9,TCP,Brute Force
85,159.15.97.239,96:7e:a7:46:06:6d,43:64:88:8d:8c:67,29,14,1434,590,NONE,4,3,ARP,ARP Poisoning
86,253.0.165.26,1e:5f:e9:fe:91:69,c1:d4:f4:13:f8:72,1937,695,119232,89160,SYN,7,7,TCP,DDoS
87,37.155.24.116,ce:67:01:de:f8:7f,12:2b:d4:0a:6e:79,175,32,7293,355,SYN,51,63,UDP,Port Scanning
88,78.161.19.83,f3:93:34:23:8c:6d,d3:9a:1f:d2:ac:f3,25,31,1976,1671,SYN,14,4,ICMP,Normal
89,248.145.224.72,26:70:dd:03:c3:94,49:a9:65:7c:26:7f,2702,492,172820,149935,ACK,1,7,TCP,DDoS
90,192.168.18.2,bd:79:0e:93:85:5b,cf:ff:56:45:01:1c,14,0.77,1511,183.26,,0,0,ARP,Normal
91,192.168.139.50,ad:db:5f:23:84:c1,0e:63:c7:a2:45:b6,14,1.78,1057,142.89,,0,0,ARP,Normal
92,79.213.81.126,b7:c5:16:56:d7:07,42:ae:77:e1:f4:c0,291,35,18809,10315,SYN,119,8,TCP,Brute Force
93,225.48.204.247,79:19:ba:28:8f:90,a6:31:69:5a:79:1f,18,3,1705,718,PSH,6,16,UDP,Normal
94,192.168.40.74,23:23:4a:75:a3:04,b1:84:4f:92:7b:02,13,2.37,1250,300.93,,0,0,ARP,Normal
95,78.111.146.169,b9:1d:42:50:3e:14,89:e9:17:e1:4f:46,83,36,4927,2753,SYN,42,67,UDP,Port Scanning
96,65.222.53.63,91:7b:be:4b:67:44,38:7c:0e:45:f2:da,2995,805,152543,25867,NONE,8,9,TCP,DDoS
97,64.108.149.225,62:e0:5f:ea:f8:3d,43:5a:c6:73:f7:55,311,50,2796,7059,FIN,146,1,TCP,Brute Force
98,171.6.251.79,d8:0a:9c:77:d6:85,fd:f1:00:4d:8d:d6,199,23,87678,4743,,137,3,ARP,ARP Poisoning
99,121.254.238.168,80:1c:8e:2f:a5:1d,1d:6b:6c:02:94:b9,187,70,3950,10943,SYN,146,8,TCP,Brute Force
100,192.168.206.35,f3:5d:1a:18:ab:ad,ba:75:11:f3:c2:0c,24,16.43,2818,1856,SYN,1,5,ICMP,Normal
101,90.76.131.246,b7:37:8b:a9:7a:44,4f:44:78:67:7c:40,2084,428,89368,95507,ACK,7,4,UDP,DDoS
102,25.231.76.189,ca:4d:2d:23:52:00,52:73:70:a3:77:f0,46,17,673,99,NONE,1,4,ARP,ARP Poisoning
103,167.154.93.244,24:2e:2f:cf:6a:9f,3d:a4:80:44:35:00,127,10,7337,4403,SYN,95,59,TCP,Port Scanning
104,174.21.183.46,33:65:8c:66:ce:3e,ef:e3:a9:3e:f5:c6,1810,587,143533,56819,SYN,6,4,UDP,DDoS
105,120.75.184.6,c3:6f:d2:5a:e4:43,5d:15:1e:ef:b2:ca,79,45,801,1355,FIN,16,17,TCP,Normal
106,90.100.250.135,7b:00:1e:c6:36:8f,7c:29:f5:29:fe:e0,74,6,1846,718,NONE,4,4,ARP,ARP Poisoning
107,71.255.252.12,25:da:6d:a7:ec:07,d6:b4:91:76:bf:06,170,38,2638,1684,SYN,38,32,UDP,Port Scanning
108,93.18.192.130,8f:84:b2:26:9e:86,fc:61:6b:ad:47:9e,52,33,3168,1942,URG,18,6,TCP,Normal
109,86.193.252.53,30:c4:2e:bb:fa:14,06:c4:86:64:ac:82,105,42,3325,9728,FIN,111,3,TCP,Brute Force
110,242.227.203.199,86:a4:18:ff:8e:8a,93:fc:80:c9:21:57,281,40,1251,9877,SYN,77,9,TCP,Brute Force
111,9.123.236.239,8c:10:59:90:f8:57,e7:47:7a:44:dd:05,269,77,4371,7073,SYN,183,3,TCP,Brute Force
112,70.163.2.165,a0:99:f0:b8:5d:44,0f:d3:e3:ee:a9:6d,353,31,78239,3007,,34,2,ARP,ARP Poisoning
113,27.60.183.177,5c:f9:11:06:68:00,59:13:a0:b3:49:ab,1356,947,100884,122242,SYN,3,4,TCP,DDoS
114,233.0.207.111,c3:8d:93:96:38:ef,3a:53:f9:ae:aa:39,28,34,1697,229,RST,17,18,UDP,Normal
115,120.55.145.12,aa:21:04:fa:9e:33,df:4f:cf:da:7f:08,207,27,74089,2352,,115,4,ARP,ARP Poisoning
116,134.173.141.165,a1:9d:c9:c3:f1:54,10:3b:a8:92:96:c4,124,46,62526,4089,,87,2,ARP,ARP Poisoning
117,226.250.157.50,dd:c9:9c:6d:4d:2d,9a:e8:45:a6:31:eb,81,3,122,1283,SYN,5,9,UDP,Normal
118,39.219.234.167,dd:dc:e1:84:59:70,e6:f9:e4:49:95:48,20,14,412,237,SYN,3,2,TCP,Normal
119,192.168.222.237,3a:2b:53:da:b4:38,61:bd:b1:c8:4a:3a,34,19.14,2796,1323.59,FIN,3,9,ICMP,Normal
120,192.168.181.93,2d:87:38:af:5f:90,7d:17:2b:e3:d6:d7,11,2.47,219,279.52,,0,0,ARP,Normal
121,200.69.168.225,75:1a:e5:fa:84:52,93:1c:19:a1:20:0b,3792,875,151807,72659,SYN,1,4,TCP,DDoS
122,192.168.247.232,da:ce:a9:11:53:57,17:b1:ec:a3:5f:0b,17,3.3,566,60.22,,0,0,ARP,Normal
123,160.47.80.189,52:d3:41:7a:8f:9c,9c:f1:ac:63:0c:86,293,8,2831,2318,SYN,73,62,TCP,Port Scanning
124,158.148.77.81,b7:32:6d:43:e0:71,ca:12:a8:f2:c7:52,174,23,4782,2276,SYN,88,50,TCP,Port Scanning
125,52.237.66.46,d2:b1:b5:cd:30:fd,30:14:96:0f:26:4c,3581,272,127932,55096,SYN,4,6,UDP,DDoS
126,110.188.61.186,57:a4:49:33:38:39,88:81:91:26:af:dd,148,42,2352,2188,SYN,39,56,TCP,Port Scanning
127,209.33.99.198,38:4d:97:c4:f0:e9,ac:ec:16:14:b7:08,45,11,3124,690,NONE,2,4,ICMP,Normal
128,12.40.116.118,fc:6e:5c:f3:ed:c6,41:ba:29:fa:39:1b,498,86,11735,11683,ACK,108,7,TCP,Brute Force
129,163.168.219.15,b9:76:06:5d:0d:1d,4b:5e:05:b6:17:10,143,81,4161,8961,ACK,161,2,TCP,Brute Force
130,192.168.220.161,58:24:5f:9e:01:e0,ba:fb:7b:0d:42:b9,40,5.01,1711,706.48,FIN,3,8,ICMP,Normal
131,28.234.156.231,af:91:5d:a6:6f:e7,93:45:7c:9f:fe:bf,298,42,9196,2763,SYN,79,93,TCP,Port Scanning
132,192.168.10.214,37:17:dd:60:f8:97,dc:d8:6c:3e:75:3b,8,4.84,1716,342.09,,0,0,ARP,Normal
133,62.234.247.178,d7:ba:72:4a:6e:25,38:c2:eb:f3:d8:dc,4164,271,140901,103620,ACK,4,4,TCP,DDoS
134,131.188.92.75,2d:8c:9d:7f:30:39,cf:77:68:d0:f2:fa,1179,845,174735,107706,ACK,9,1,TCP,DDoS
135,21.110.54.198,19:23:77:52:60:7f,94:7b:97:31:f6:2c,99,2,1967,878,NONE,3,1,ARP,ARP Poisoning
136,248.37.218.204,12:3d:e9:51:76:27,0c:ef:11:3b:43:b1,22,13,1236,146,NONE,3,3,ARP,ARP Poisoning
137,21.207.22.86,da:67:91:d2:28:2c,50:f0:be:67:f8:62,198,23,9933,3043,SYN,27,50,TCP,Port Scanning
138,88.136.192.167,d4:86:67:d4:9d:f4,5f:92:63:d8:51:02,169,9,643,3022,NONE,81,98,TCP,Port Scanning
139,192.168.52.203,4e:95:f2:ec:7b:f8,12:24:9e:c7:77:31,10,3.49,1106,105.27,,0,0,ARP,Normal
140,114.23.12.134,5c:cb:db:e9:07:85,0b:f4:e9:57:9a:d3,187,24,59895,3799,,60,3,ARP,ARP Poisoning
141,28.176.121.18,95:42:a2:19:b3:b6,eb:ac:44:18:cc:1b,33,47,2206,240,URG,1,8,UDP,Normal
142,75.195.40.148,8f:41:b0:54:25:02,0d:3d:ae:47:8b:ec,94,17,629,244,NONE,3,3,ARP,ARP Poisoning
143,101.32.252.120,21:85:0b:2f:d2:1b,5c:4b:1b:f0:00:59,87,6,1592,823,NONE,4,2,ARP,ARP Poisoning
144,75.190.127.233,51:ba:95:9a:34:46,95:98:3e:80:b4:0c,229,21,6107,2341,SYN,75,60,UDP,Port Scanning
145,3.170.164.67,2e:c6:cd:11:71:37,2b:10:19:7a:28:5d,22,27,2691,386,SYN,18,4,TCP,Normal
146,79.160.145.139,97:0c:90:a8:5d:eb,c4:20:bf:dd:eb:6a,2827,466,189038,145735,ACK,3,4,UDP,DDoS
147,175.81.108.251,e9:0b:84:19:ae:5d,c4:5b:0f:eb:e2:0c,484,44,11470,12246,FIN,115,9,TCP,Brute Force
148,215.89.79.157,ac:4a:b1:55:7a:37,0a:52:5e:85:36:7c,457,74,13645,11334,FIN,178,7,TCP,Brute Force
149,29.196.194.130,5a:27:0b:39:d2:9e,e0:c3:3d:fc:4d:83,227,37,9055,4938,SYN,98,68,TCP,Port Scanning
150,78.239.43.232,b3:87:95:f0:35:a5,09:1c:da:e2:05:38,299,14,5382,1875,SYN,89,61,UDP,Port Scanning
151,76.204.226.114,cf:5d:5b:46:16:f1,24:9e:79:91:c0:50,4614,374,199716,44522,SYN,6,2,TCP,DDoS
152,126.38.219.60,24:2f:bb:21:cd:0c,4a:32:91:c0:31:db,4063,671,151021,23820,SYN,6,8,TCP,DDoS
153,243.41.55.129,76:d4:01:ad:db:f5,ea:a1:4a:a1:2c:cb,85,38,3481,553,RST,6,1,TCP,Normal
154,160.85.89.119,19:cd:77:a3:a9:c9,b8:b3:b3:d7:db:ea,467,63,19774,8159,SYN,146,9,TCP,Brute Force
155,1.39.51.216,f3:2a:6c:e2:89:00,a3:1e:19:d5:5f:8b,390,34,94583,3793,,47,5,ARP,ARP Poisoning
156,152.227.158.33,93:b7:7b:f6:fb:7e,f4:a9:5c:70:14:1f,18,22,1122,1437,ACK,9,6,ICMP,Normal
157,11.159.233.180,6c:08:3a:27:06:ad,13:37:71:f0:01:4f,3968,296,119763,88049,SYN,3,5,UDP,DDoS
158,138.185.141.54,7c:21:42:d1:ed:79,80:53:d7:fa:fb:18,163,7,2075,1286,SYN,29,75,TCP,Port Scanning
159,239.155.221.198,85:b1:7f:65:ae:7e,de:1f:bf:e5:9d:17,1129,541,161277,60062,ACK,9,7,TCP,DDoS
160,61.19.13.25,12:98:ce:66:c3:0c,87:cd:eb:cb:1d:da,45,32,2041,1290,FIN,1,6,ICMP,Normal
161,153.208.58.190,d9:d0:31:90:2f:4d,99:42:f3:eb:37:ea,180,27,38250,4642,,39,4,ARP,ARP Poisoning
162,192.168.211.240,d0:9b:ea:6c:77:a5,73:2c:3b:04:95:da,12,4.53,579,339.48,,0,0,ARP,Normal
163,102.204.119.229,3a:b1:7a:08:37:17,57:21:57:ad:8e:42,237,43,4122,2131,SYN,79,63,TCP,Port Scanning
164,45.200.131.19,75:d9:bc:d6:de:1b,ba:5d:f1:8b:91:86,293,36,5765,1101,SYN,53,64,TCP,Port Scanning
165,11.60.209.240,02:2f:ff:b9:a1:63,2c:84:11:32:f3:fc,451,98,4636,5887,SYN,51,8,TCP,Brute Force
166,25.116.62.29,aa:8e:09:56:c0:00,f7:16:77:03:52:1d,499,41,77696,3754,,51,4,ARP,ARP Poisoning
167,198.24.27.110,0f:05:93:09:37:a0,d9:cb:85:35:0b:41,132,33,8060,488,SYN,65,93,UDP,Port Scanning
168,161.46.34.231,76:67:10:b9:b6:7d,1f:92:03:c1:ce:6a,1659,831,175976,27379,SYN,1,1,TCP,DDoS
169,232.201.151.126,43:bf:b8:6d:69:fb,7d:13:96:23:25:23,2747,352,112676,132608,ACK,9,6,TCP,DDoS
170,120.234.57.82,9d:1c:20:02:9f:cb,e2:aa:bc:d7:dc:83,3199,442,151981,116908,SYN,9,7,UDP,DDoS
171,8.103.211.47,3c:5a:2c:59:3f:58,9e:ea:19:a4:c5:51,3631,998,175758,149962,ACK,5,6,TCP,DDoS
172,79.69.232.128,0c:70:f4:5e:3f:ff,d8:9d:95:41:b8:e9,41,8,2331,161,NONE,11,5,TCP,Normal
173,98.177.48.176,69:1a:61:64:93:8a,d3:42:47:04:92:df,3680,602,53173,85513,SYN,1,6,ICMP,DDoS
174,192.168.215.80,12:5b:da:4f:81:83,52:25:07:f1:c6:20,11,1.91,493,493.82,,0,0,ARP,Normal
175,20.64.98.159,cf:4a:fb:7a:54:26,7d:c0:f4:bd:33:d2,54,16,9250,2344,NONE,41,37,TCP,Port Scanning
176,215.192.88.94,19:84:32:fb:a9:17,9d:15:18:f2:0d:03,4270,665,132917,143675,NONE,2,1,ICMP,DDoS
177,150.76.247.141,18:a8:ec:6f:d5:68,e5:95:54:47:6d:ec,62,34,1068,958,RST,15,10,TCP,Normal
178,199.30.130.46,3c:53:dc:d7:c8:74,7d:55:58:78:2f:08,135,93,17252,9592,SYN,155,7,TCP,Brute Force
179,31.249.213.211,bf:b4:88:4e:1e:09,12:43:c1:a9:d7:fc,142,17,2910,2330,SYN,86,89,TCP,Port Scanning
180,61.134.56.185,9f:8a:71:88:63:bd,ca:2e:18:a1:b2:43,164,27,63748,4567,,183,3,ARP,ARP Poisoning
181,139.87.39.56,33:1f:56:df:b6:b6,64:a8:8d:3a:55:4a,28,10,1126,892,NONE,3,1,ARP,ARP Poisoning
182,192.168.245.89,66:27:89:04:92:7e,17:9b:0a:fc:2b:17,10,0.75,1628,87.18,,0,0,ARP,Normal
183,136.80.221.210,b3:db:67:ef:f1:6b,2e:9d:68:34:75:49,60,5,1145,500,NONE,1,2,ARP,ARP Poisoning
184,2.20.18.226,5e:eb:70:68:e2:a4,df:57:49:15:0f:74,216,71,17299,13867,SYN,157,6,TCP,Brute Force
185,150.128.129.168,a6:04:83:4f:2d:27,ef:a1:2a:24:30:71,42,45,1977,319,PSH,7,2,TCP,Normal
186,87.15.156.248,d0:ce:de:f7:84:db,4c:b2:0e:d1:29:a8,42,2,548,883,NONE,3,3,ARP,ARP Poisoning
187,121.76.228.214,11:98:42:29:e8:be,53:bf:bc:08:21:8d,38,43,2142,1968,FIN,6,5,ICMP,Normal
188,179.84.225.220,ac:b7:96:f4:ca:03,c5:22:3e:45:e4:ef,112,23,9998,1995,SYN,36,23,TCP,Port Scanning
189,56.20.36.152,e1:c4:a0:31:fc:48,6e:eb:92:07:22:60,163,34,52594,2213,,65,3,ARP,ARP Poisoning
190,130.247.18.94,ee:62:48:80:a5:f3,55:89:fb:53:6d:b3,405,10,33822,3255,,182,3,ARP,ARP Poisoning
191,192.168.96.137,12:21:44:5f:d6:32,24:df:93:24:e5:29,18,5.41,187,1524.68,FIN,5,8,UDP,Normal
192,149.248.103.149,8f:b6:de:b2:ba:ca,cd:10:f9:27:40:b2,3128,256,181961,102494,SYN,8,5,TCP,DDoS
193,82.236.68.76,48:37:00:39:d1:83,9d:c9:b4:03:c6:40,393,74,6834,9363,SYN,112,9,TCP,Brute Force
194,163.104.138.55,c6:92:27:98:0e:f8,ce:f9:8d:65:29:99,68,4,1632,121,NONE,1,1,ARP,ARP Poisoning
195,87.235.38.12,b3:16:a5:c4:3c:0b,3b:d8:c7:81:8d:12,1011,914,60557,114289,SYN,2,6,TCP,DDoS
196,184.221.149.13,33:ce:17:ff:c3:6c,ce:34:ac:bb:2a:c4,4345,532,71374,113260,ACK,3,5,TCP,DDoS
197,152.50.53.172,af:93:aa:40:27:63,5e:6a:ff:91:c0:e6,149,13,7317,1278,ACK,102,5,TCP,Brute Force
198,15.42.239.176,a4:7c:02:25:ab:80,ba:20:d9:fe:34:39,480,27,38064,4907,,174,1,ARP,ARP Poisoning
199,148.137.187.139,52:27:40:bf:dd:ed,1c:44:a3:16:e5:fe,1135,585,185671,128515,ACK,5,3,TCP,DDoS
200,228.24.31.255,18:30:91:7e:54:e9,27:7a:da:b1:9a:37,258,99,14894,11686,ACK,55,3,TCP,Brute Force
201,9.21.210.237,7a:4e:84:47:5e:26,77:31:b1:f6:ba:57,3281,312,116820,39992,ACK,6,6,TCP,DDoS
